freq,indic_ur,cities\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE2001I,BG010F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: e	102 e	100 e	100 e	99 e	99 	99 	99 	99 	99 	99 	99 	99 
A,DE2001I,BG011F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: e	107 e	99 e	99 e	99 e	99 	99 	99 	98 	98 	97 	97 	97 
A,DE2001I,BG013F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: e	103 e	100 e	99 e	99 e	99 	99 	99 	99 	99 	99 	99 	99 
A,DE2001I,BG014F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: e	101 e	100 e	100 e	100 e	99 	99 	99 	99 	99 	99 	99 	99 
A,DE2001I,BG015F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: e	105 e	100 e	100 e	99 e	99 	99 	99 	99 	99 	99 	99 	99 
A,DE2001I,BG016F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: e	100 e	99 e	99 e	98 e	98 	98 	98 	98 	98 	98 	98 	98 
A,DE2001I,BG017F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: e	99 e	99 e	99 e	99 e	99 	99 	99 	99 	99 	99 	99 	99 
A,DE2001I,BG018F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: e	101 e	100 e	100 e	100 e	100 	100 	100 	99 	99 	99 	99 	99 
A,DE2001I,CH	82 	: 	: 	: 	: 	: 	80 	: 	: 	: 	79 	: 	: 	: 	78 	78 	78 	78 	78 	78 	77 	78 b	77 	77 	76 	76 	75 	: 	: 	: 	: 	: 	: 
A,DE2001I,CH001F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	84 	84 	84 	84 	84 	84 	83 	87 	87 	87 	86 	86 	85 	85 	85 	85 	84 	84 	84 
A,DE2001I,CH002F	80 	: 	: 	: 	: 	: 	78 	: 	: 	: 	77 	: 	: 	: 	76 	76 	76 	75 	75 	74 	74 	76 	76 	76 	75 	75 	74 	74 	74 	74 	74 	73 	73 
A,DE2001I,CH003F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62 	63 	63 	63 	63 	62 	62 	62 	62 	61 	61 	60 	60 	61 	61 	61 	61 	61 	61 
A,DE2001I,CH003T	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69 	: 	: 	69 b	69 b	68 b	: 	67 	67 	68 	68 	70 b	70 	: 	: 
A,DE2001I,CH004F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77 	77 	76 	76 	76 	75 	75 	76 	76 	75 	75 	74 	74 	73 	73 	73 	72 	72 	72 
A,DE2001I,CH004T	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80 	: 	: 	80 b	80 b	79 b	: 	79 	78 	78 	77 	77 b	77 	: 	: 
A,DE2001I,CH005F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68 	68 	68 	67 	67 	67 	66 	69 	68 	68 	67 	67 	66 	66 	66 	67 	67 	67 	67 
A,DE2001I,CH006F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80 	80 	79 	79 	79 	79 	78 	82 	82 	82 	82 	81 	81 	81 	81 	80 	80 	80 	79 
A,DE2001I,CH008F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71 	71 	71 	71 	71 	70 	70 	73 	72 	72 	71 	70 	70 	70 	70 	70 	70 	70 	70 
A,DE2001I,CH009F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77 	77 	78 	78 	78 	77 	77 	78 	78 	78 	77 	77 	76 	76 	76 	76 	76 	75 	75 
A,DE2001I,CH010F	84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81 	: 	: 	: 	80 	79 	79 	79 	79 	79 	78 	78 b	78 b	77 	77 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CY	: 	: 	96 	: 	: 	: 	: 	: 	: 	: 	: 	91 	89 	: 	88 	: 	: 	: 	: 	: 	: 	79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CY001F	: 	: 	96 	: 	: 	: 	94 	: 	: 	: 	: 	92 	: 	: 	88 	: 	: 	: 	: 	: 	: 	82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CY003F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98 	: 	: 	: u	: 	: 	: u	96 	96 	96 	94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
