freq,indic_ur,cities\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE2002V,IT078F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6284 	1729 b	1906 	2193 	2204 	2196 	2201 	2249 	2197 b	2207 	1986 	2031 
A,DE2002V,IT079F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3932 b	4209 	5075 	5292 	5304 	5377 	5572 	5367 b	5345 	4949 	5249 
A,DE2002V,IT080F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6564 b	6980 	7603 	7696 	7651 	7648 	7733 	7356 b	7293 	6436 	6673 
A,DE2002V,IT081F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2246 b	2482 	2934 	3028 	3255 	3336 	3350 	3114 b	3091 	2781 	2784 
A,DE2002V,IT082F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	970 b	1160 	1254 	1318 	1388 	1413 	1436 	1388 b	1446 	1058 	1034 
A,DE2002V,IT083F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1000 b	1293 	1384 	1456 	1477 	1464 	1469 	1354 b	1352 	1085 	1094 
A,DE2002V,IT084F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1049 b	1287 	1680 	1814 	1928 	2093 	2220 	1989 b	1987 	1858 	1740 
A,DE2002V,IT085F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1068 b	1279 	1232 	1320 	1329 	1325 	1319 	1307 b	1320 	1104 	1109 
A,DE2002V,IT086F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	214 b	241 	293 	336 	341 	332 	340 	326 b	342 	264 	283 
A,DE2002V,IT087F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2531 b	3323 	3956 	3744 	3846 	3868 	3939 	3752 b	3691 	3464 	3433 
A,DE2002V,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	534 	: 	: 	: 	1451 e	: 	: 	2669 	: 	: 	2772 	: 	3248 e	3711 	4269 	4949 	5523 	6129 e	: 	: 	: 	: 
A,DE2002V,LT001F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	263 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1269 	: 	: 	: 	: 	: 	: 	: 	: 	: 	673 	: 
A,DE2002V,LT002F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	308 	: 	: 	: 	: 	: 	: 	: 	: 	: 	151 	: 
A,DE2002V,LT003F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29 	: 
A,DE2002V,LU	: 	: 	: 	: 	: 	: 	: 	127820 	131410 	: 	: 	139691 	: 	: 	152579 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,LU001F	: 	: 	: 	: 	: 	: 	: 	127820 	131410 	: 	: 	139691 	: 	: 	152579 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,LV	: 	: 	: 	: 	: 	: 	: 	: 	403 	: 	703 	1038 e	1070 e	: 	4394 e	: 	: 	: 	7933 	: 	: 	5885 	: 	5590 	6035 	6805 	5974 	5937 	6221 	: 	6303 	6371 	6645 
A,DE2002V,LV001F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3781 	: 	: 	: 	4708 	4019 	3990 	4263 	4505 	4401 	4417 	4708 
A,DE2002V,LV002F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	325 	: 	353 	356 	327 	322 	325 	333 	333 	327 	350 	350 
A,DE2002V,LV003F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	173 	: 	173 	173 	191 	170 	168 	185 	187 	187 	182 	180 
A,DE2002V,LV004F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	579 	: 	549 	562 	580 	553 	558 	570 	565 	559 	554 	546 
A,DE2002V,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18929 	23758 	30248 	38563 	45457 	52761 	42718 	44957 
A,DE2002V,NL	: 	173975 	181864 	188737 	193913 	193054 	191074 	188316 	190195 	192155 	195886 	201574 	207858 	: 	211009 	: 	: 	: 	: 	: 	310930 	334549 	360847 	380537 	401195 	429111 b	456873 b	: 	: 	567724 	616632 	767474 	823050 
A,DE2002V,NL001F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66973 	75761 	80505 	84530 	89385 	102122 b	109484 b	: 	: 	140570 	154131 	194532 	209339 
A,DE2002V,NL002F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3623 	3685 	3724 	3727 	3912 	5163 b	5234 b	: 	: 	5888 	6261 	7495 	7882 
A,DE2002V,NL003F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	960 	979 	1049 	1130 	1194 	1236 b	1320 b	: 	: 	1773 	1983 	3019 	3194 
A,DE2002V,NL005F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2027 b	2282 b	: 	: 	3115 	3332 	3786 	3949 
A,DE2002V,NL006F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1643 	1753 	1863 	1937 	2242 	1971 b	2045 b	: 	: 	2323 	2480 	3728 	4000 
A,DE2002V,NL007F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1400 	1509 	1619 	1783 	1824 	1980 b	2135 b	: 	: 	2863 	2868 	3918 	4009 
A,DE2002V,NL008F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4299 	4427 	4616 	4754 	4835 	4915 b	5151 b	: 	: 	6454 	7309 	9951 	10442 
A,DE2002V,NL009F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	793 b	793 b	: 	: 	819 	897 	1122 	1129 
A,DE2002V,NL010F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1398 	1429 	1605 	1751 	1929 	3447 b	3676 b	: 	: 	4535 	4971 	6190 	6438 
A,DE2002V,NL011F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5033 	5367 	5697 	5914 	6285 	8971 b	9554 b	: 	: 	11091 	11755 	13960 	14909 
A,DE2002V,NL012F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1418 	1538 	1524 	1570 	1505 	1565 b	1674 b	: 	: 	2030 	2255 	3531 	3655 
A,DE2002V,NL013F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3091 b	3155 b	: 	: 	3625 	4006 	4818 	5377 
A,DE2002V,NL014F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14174 	15445 	16867 	18227 	19606 	21976 b	23805 b	: 	: 	30467 	33294 	42177 	45844 
A,DE2002V,NL015F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5903 	6403 	6571 	6741 	6670 	6625 b	6481 b	: 	: 	7526 	8165 	10785 	11715 
A,DE2002V,NL016F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1002 	1059 	1174 	1171 	1280 	1310 b	1455 b	: 	: 	2030 	2114 	2558 	2772 
A,DE2002V,NL017F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34726 	37389 	40704 	43530 	45889 	58380 b	62613 b	: 	: 	77010 	83495 	103162 	110230 
A,DE2002V,NL018F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6285 	7235 	8267 	9049 	9758 	10201 b	10553 b	: 	: 	13542 	14752 	17528 	19271 
A,DE2002V,NL022F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3375 	3384 	3462 	3533 	3530 	11538 b	11560 b	: 	: 	12651 	13093 	14119 	14530 
A,DE2002V,NL025F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3246 	3537 	3808 	3998 	4310 	4450 b	4674 b	: 	: 	6004 	6521 	8441 	9076 
A,DE2002V,NL028F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2134 	2653 	2824 	2847 	2730 	2917 b	3038 b	: 	: 	3456 	3940 	4464 	4831 
A,DE2002V,NL029F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5238 	5506 	5833 	5990 	6312 	12470 b	13172 b	: 	: 	15090 	16066 	18249 	19240 
A,DE2002V,NL030F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2371 b	2578 b	: 	: 	3611 	4228 	5679 	6495 
A,DE2002V,NL031F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5728 	7548 	8909 	9740 	10439 	10711 b	11355 b	: 	: 	12851 	13649 	15579 	16876 
A,DE2002V,NL032F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3016 b	3145 b	: 	: 	3566 	3807 	4549 	4910 
A,DE2002V,NL033F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5257 	5517 	5630 	5708 	5671 	5936 b	6260 b	: 	: 	7415 	7581 	9352 	9615 
A,DE2002V,NL035F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2442 b	2660 b	: 	: 	3837 	4489 	5768 	6030 
A,DE2002V,NL037F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28159 	32095 	35204 	36515 	38772 	48666 b	51668 b	: 	: 	63817 	70050 	92812 	99343 
A,DE2002V,NL038F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1929 	2082 	2317 	2460 	2791 	3104 b	3441 b	: 	: 	4858 	5323 	6262 	6675 
A,DE2002V,NL039F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2474 	2476 	2525 	2552 	2595 	3124 b	3223 b	: 	: 	3441 	3614 	4185 	4332 
A,DE2002V,NL040F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	845 b	878 b	: 	: 	1025 	1058 	1568 	1582 
A,DE2002V,NL041F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4460 	4783 	5238 	5838 	6645 	7899 b	8724 b	: 	: 	12353 	14025 	17258 	19022 
A,DE2002V,NL042F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11488 	13040 	13711 	14353 	14895 	17001 b	18057 b	: 	: 	22547 	24266 	31006 	33406 
A,DE2002V,NL043F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	721 b	807 b	: 	: 	1033 	1146 	1504 	1544 
A,DE2002V,NL044F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4695 	5054 	5570 	5909 	6423 	6896 b	7250 b	: 	: 	9276 	10057 	11845 	12927 
A,DE2002V,NL047F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1434 	1644 	1700 	1771 	1886 	2754 b	2889 b	: 	: 	3409 	3741 	4703 	5068 
A,DE2002V,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79188 	: 	: 	88629 	: 	99841 	112980 	137857 	165327 	186563 	214557 	247573 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,NO001F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33395 	: 	: 	36859 	: 	40769 	45085 	52783 	61943 	: 	: 	88491 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,NO002F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4350 	: 	: 	5190 	: 	6246 	7408 	9633 	11950 	: 	: 	19232 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,NO003F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2653 	: 	: 	3038 	: 	3780 	4322 	5366 	6197 	: 	: 	9361 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,NO004F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5673 	: 	: 	5992 	: 	6901 	8509 	11121 	13647 	: 	: 	21097 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18433 	17425 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,PT	: 	29901 	: 	33248 	37116 	41534 	43732 	46043 	48171 	56689 	56859 	49320 	61810 	: 	: 	: 	: 	: 	: 	: 	: 	94498 	: 	: 	: 	105227 	118170 d	136886 d	158915 d	184722 	158588 	169169 	174063 
A,DE2002V,PT001F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29744 	: 	: 	: 	: 	43245 d	52857 d	64415 d	76544 	73466 	78430 	80487 
A,DE2002V,PT002F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4803 	: 	: 	: 	4064 	4490 d	5470 d	6910 d	7821 	7897 	8676 	9380 
A,DE2002V,PT003F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	970 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1727 	: 	: 	: 	841 	897 d	1096 d	1422 d	1825 	1977 	2299 	2548 
A,DE2002V,PT004F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1597 	: 	: 	: 	2187 	2294 d	2469 d	2628 d	2843 	2235 	2720 	3097 
A,DE2002V,PT005F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1406 	: 	: 	: 	1953 	2138 d	2290 d	2558 d	2881 	2146 	2467 	2776 
A,DE2002V,PT007F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	159 	: 	: 	: 	: 	: 	: 	: 	: 	: 	278 	: 	: 	: 	586 	569 d	587 d	561 d	617 	435 	749 	896 
A,DE2002V,PT008F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	700 	: 	: 	: 	807 	867 d	955 d	1061 d	1214 	1172 	1278 	1491 
A,DE2002V,PT009F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1740 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3482 	: 	: 	: 	4278 	4926 d	5601 d	6326 d	7200 	4684 	5550 	5397 
A,DE2002V,PT010F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	365 	: 	: 	: 	: 	339 d	341 d	403 d	450 	452 	517 	561 
A,DE2002V,PT011F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	491 	: 	: 	: 	: 	474 d	488 d	614 d	723 	730 	720 	757 
A,DE2002V,PT013F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	260 	: 	: 	: 	: 	142 d	172 d	221 d	272 	322 	351 	400 
A,DE2002V,PT015F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	224 	238 d	271 d	341 d	388 	374 	434 	483 
A,DE2002V,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5408 	: 	: 	: 	: 	: 	: 	: 	6293 p	10060 	: 	: 	: 	48030 	: 	56750 	: 	: 	: 	: 	: 
A,DE2002V,RO001F	: 	: 	262 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1690 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO002F	: 	: 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	275 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO003F	: 	: 	64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	435 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO004F	: 	: 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	184 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO005F	: 	: 	51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO006F	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	137 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO007F	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO008F	: 	: 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	193 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO009F	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO010F	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO011F	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO012F	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO013F	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,RO014F	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2002V,SE	: 	195711 	190485 	186250 	182621 	180281 	178960 	178229 	176815 	177041 	177430 	180191 	183328 	: 	206977 	: 	: 	: 	255571 	: 	269950 	276043 	: 	: 	: 	: 	: 	310706 	318442 	: 	: 	: 	: 
A,DE2002V,SE001F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69849 	: 	: 	75249 	: 	: 	: 	86465 	: 	91188 	95018 	: 	: 	: 	: 	: 	113032 	116052 	: 	: 	: 	: 
A,DE2002V,SE002F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18663 	: 	: 	21261 	: 	: 	: 	24272 	: 	25145 	25678 	: 	: 	: 	: 	: 	29243 	30273 	: 	: 	: 	: 
A,DE2002V,SE003F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10720 	: 	: 	17008 	: 	: 	: 	29999 	: 	33116 	33414 	: 	: 	: 	: 	: 	34848 	34888 	: 	: 	: 	: 
A,DE2002V,SE004F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1343 	: 	: 	1686 	: 	: 	: 	2218 	: 	2387 	2367 	: 	: 	: 	: 	: 	3060 	3298 	: 	: 	: 	: 
A,DE2002V,SE005F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2250 	: 	: 	2400 	: 	: 	: 	2472 	: 	2580 	2638 	: 	: 	: 	: 	: 	3203 	3259 	: 	: 	: 	: 
A,DE2002V,SE006F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4567 	: 	: 	5124 	: 	: 	: 	6062 	: 	6410 	6691 	: 	: 	: 	: 	: 	8917 	9585 	: 	: 	: 	: 
A,DE2002V,SE007F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1559 	: 	: 	1883 	: 	: 	: 	2324 	: 	2676 	2849 	: 	: 	: 	: 	: 	3885 	4201 	: 	: 	: 	: 
A,DE2002V,SE008F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1733 	: 	: 	2110 	: 	: 	: 	2380 	: 	2566 	2596 	: 	: 	: 	: 	: 	2902 	2977 	: 	: 	: 	: 
A,DE2002V,SE010F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4235 	4272 	: 	: 	: 	: 
A,DE2002V,SE011F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2600 	2674 	: 	: 	: 	: 
A,DE2002V,SE012F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9414 	9568 	: 	: 	: 	: 
A,DE2002V,SE014F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2949 	2996 	: 	: 	: 	: 
A,DE2002V,SI	: 	: 	: 	: 	: 	: 	1026 	1108 	1146 	1048 	1209 	1197 	1223 	: 	1964 	: 	: 	: 	4112 	: 	: 	5363 b	: 	15242 	16317 	17165 	17597 	18719 	19539 	: 	: 	21120 	21192 
A,DE2002V,SI001F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	382 	382 	: 	: 	: 	: 	: 	1054 	: 	1242 	1433 b	1601 	3994 	4178 	4607 b	4651 	4844 	5037 	5422 	5661 	5500 	5520 
A,DE2002V,SI002F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	152 	152 	: 	: 	: 	: 	: 	503 	: 	544 	584 b	673 	2575 	2804 	2871 	2874 	3157 	3202 	3291 	3346 	3114 	2994 
A,DE2002V,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10776 	: 	: 	10740 	: 	: 	: 	32688 	: 	: 	: 	40405 	42827 	45175 	47202 	50440 	53511 	55949 	58304 	60307 	36594 	: 
A,DE2002V,SK001F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2386 	: 	: 	: 	: 	4981 	: 	8632 	: 	: 	: 	8266 	8575 	8756 	8930 	10044 	10710 	11442 	11801 	12376 	11217 	: 
A,DE2002V,SK002F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	965 	: 	: 	: 	: 	1269 	: 	2045 	: 	: 	: 	2830 	2968 	3128 	3322 	3506 	3735 	3901 	4039 	4261 	1514 	: 
A,DE2002V,SK003F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	338 	: 	: 	: 	: 	447 	: 	613 	: 	: 	: 	840 	894 	971 	1022 	1077 	1124 	1150 	1184 	1196 	528 	: 
A,DE2002V,SK004F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	327 	: 	: 	645 	: 	: 	: 	1323 	: 	: 	: 	1791 	2005 	2181 	2293 	2357 	2567 	2633 	2876 	2925 	1220 	: 
A,DE2002V,SK005F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	205 	: 	: 	: 	: 	398 	: 	518 	: 	: 	: 	659 	680 	732 	781 	838 	886 	948 	1020 	1089 	893 	: 
A,DE2002V,SK006F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	248 	: 	: 	: 	: 	725 	: 	993 	: 	: 	: 	1260 	1356 	1458 	1564 	1670 	1784 	1889 	1989 	2041 	739 	: 
